SMILES_1,SMILES_2,Temperatures (K)
C1CCCCC1,O=C1CCCCC1,"[323.1371, 348.1306, 355.31, 356.423, 356.5, 357.6, 358.16, 358.28, 358.723, 359.03, 360.3, 361.34, 361.473, 362.89, 364.55, 364.9232, 365.79, 366.77, 369.4736, 369.77, 371.2, 373.68, 378.4251, 379.48, 385.18, 391.35, 407.29, 414.0, 418.39, 421.4, 423.4, 423.44, 433.7, 443.55, 463.64]"
C1CCCCC1,CCCO,"[298.1444, 322.987, 323.15, 332.9341, 338.1334, 343.124, 347.42, 347.43, 347.44, 347.48, 347.55, 347.58, 347.64, 347.6707, 347.6807, 347.74, 347.7407, 347.7707, 347.7807, 347.8007, 347.8306, 347.8335, 347.8806, 347.92, 347.9235, 347.9335, 347.9806, 348.07, 348.0806, 348.0835, 348.1635, 348.1735, 348.1805, 348.1905, 348.2305, 348.2835, 348.33, 348.38, 348.4105, 348.4735, 348.5635, 348.7004, 348.7804, 348.86, 348.8803, 348.94, 348.9703, 348.9834, 349.2434, 349.2734, 349.2802, 349.4234, 349.5034, 349.55, 349.5601, 349.6801, 349.7901, 349.93, 350.0833, 350.1799, 350.2799, 350.4733, 350.57, 350.6732, 350.7998, 350.87, 350.9332, 351.0797, 351.5432, 351.5795, 351.6795, 352.2293, 352.27, 352.7792, 353.279, 354.26, 354.7786, 354.943, 355.84, 356.0482, 356.873, 357.0779, 358.003, 358.05, 358.1475, 359.4772, 359.79, 361.573, 361.9766, 362.3765, 362.49, 363.8, 364.776, 365.03, 365.2132, 365.4159, 365.7758, 366.0, 366.59, 367.1756, 368.9752, 369.1652, 393.5271, 393.7272, 394.9275, 395.4277, 397.6284, 398.6287, 398.8287, 399.729, 402.1297, 403.8301, 407.8309, 415.7325, 419.8333, 420.2334, 422.934, 423.4341, 424.6346, 426.9355, 428.9363, 429.2364, 437.0392, 438.1395, 439.0398, 439.2398, 440.5402, 440.6403, 441.5405, 441.7406, 444.2414, 447.0426, 447.1426, 447.7428, 450.2438, 451.5444, 453.145, 453.6452, 453.8453, 454.0454, 456.5464, 456.7464, 457.8469, 460.648, 464.9497, 472.2526]"
C1CCCCC1,CC(C)O,"[298.15, 313.13, 323.1371, 328.1255, 330.9247, 331.0246, 331.1246, 331.4245, 331.6245, 332.2243, 333.1344, 333.224, 334.324, 335.024, 336.224, 340.124, 340.424, 341.6325, 341.7325, 341.8324, 342.0324, 342.124, 342.3323, 342.5322, 342.5422, 342.5522, 342.5622, 342.5822, 342.5922, 342.6422, 342.684, 342.7122, 342.8321, 342.8421, 342.8821, 342.914, 343.0321, 343.114, 343.192, 343.232, 343.254, 343.282, 343.332, 343.6319, 343.7219, 343.9018, 344.0039, 344.1139, 344.2317, 344.3317, 344.6516, 345.0315, 345.2538, 345.3314, 345.3614, 345.5713, 345.9312, 346.1312, 346.3911, 346.781, 346.9236, 347.0309, 347.1309, 347.6007, 347.7335, 347.9306, 348.1106, 348.3605, 349.2302, 349.3302, 349.5801, 350.3299, 350.4099, 350.7998, 350.8098, 350.9197, 351.1397, 351.2232, 351.6795, 351.9731, 352.4193, 352.7292, 353.413, 353.9488, 355.0585]"
C1CCCCC1,CCCCO,"[318.1386, 325.81, 325.95, 326.11, 326.63, 327.62, 328.42, 330.1, 331.94, 333.96, 335.44, 338.85, 342.71, 349.04, 352.55, 352.6, 352.64, 352.723, 352.73, 352.92, 352.923, 353.06, 353.07, 353.123, 353.52, 353.54, 353.823, 353.94, 354.51, 354.523, 354.59, 355.26, 355.523, 355.6, 355.62, 356.4, 356.423, 356.623, 357.45, 357.64, 358.023, 358.723, 359.33, 360.223, 360.45, 361.123, 361.52, 361.623, 362.06, 362.24, 362.323, 363.023, 364.23, 364.37, 365.0232, 365.4232, 365.6233, 366.29, 367.4, 367.4234, 371.1238, 371.55, 371.8239, 372.04, 374.2242, 374.5243, 375.66, 377.6249, 379.7253, 380.15, 381.26, 382.2258, 382.86, 385.0262, 386.12, 388.33, 392.76, 392.86, 392.91, 393.02, 393.39, 393.57, 393.89, 394.39, 395.13, 396.19, 398.24, 400.31, 403.77, 409.24, 412.6, 415.08, 415.1, 415.23, 415.29, 415.42, 415.66, 415.92, 416.08, 416.49, 416.83, 417.08, 417.46, 417.89, 418.07, 419.35, 420.12, 421.35, 423.26, 423.39, 424.08, 425.01, 427.07, 430.8, 430.93, 430.94, 431.2, 431.97, 432.12, 432.85, 433.26, 433.87, 433.9, 434.03, 434.64, 435.41, 437.69, 439.03, 439.21, 441.0, 442.4, 442.66, 445.58, 451.83, 454.48, 457.74]"
C1CCCCC1,CC(C)(C)O,"[303.1431, 304.3527, 304.4127, 304.4227, 304.5126, 304.7926, 304.8425, 304.9425, 305.0625, 305.3324, 305.5523, 305.7823, 306.0122, 306.612, 307.8416, 308.8813, 309.911, 313.0101, 314.1797, 315.9392, 324.1068, 324.1168, 324.1468, 324.1967, 324.2467, 324.2567, 324.6066, 324.6466, 324.8865, 325.1664, 325.3264, 325.6463, 325.8462, 326.8559, 327.6757, 328.1855, 328.6954, 329.945, 331.6047, 333.3243, 335.9238, 335.9338, 335.9538, 336.0238, 336.0538, 336.3337, 336.3737, 336.7736, 336.9436, 337.1836, 337.6535, 338.0534, 338.2733, 339.0432, 341.1127, 342.4922, 343.282, 343.7019, 343.8019, 343.9818, 344.0818, 344.1817, 344.4239, 344.5239, 344.6239, 344.7916, 344.8238, 344.9815, 345.0915, 345.1015, 345.1115, 345.2114, 345.2238, 345.2314, 345.3114, 345.3314, 345.3614, 345.3714, 345.5238, 345.7237, 345.7313, 345.8412, 346.1412, 346.3237, 346.4011, 346.4111, 347.0109, 347.0509, 347.1236, 347.2236, 347.7207, 347.9606, 348.1805, 348.3235, 348.9234, 348.9603, 349.1234, 349.86, 350.09, 350.3233, 350.3599, 350.4233, 351.1232, 351.5232, 352.0494, 352.2231, 352.8491, 353.9388, 354.0688, 354.623, 364.2461, 364.2861, 364.3661, 364.5261, 364.6661, 364.886, 365.226, 365.3159, 365.4059, 366.0858, 366.1758, 366.4457, 367.0756, 370.3749, 370.9848, 371.1148, 371.3247, 371.5747, 397.5395, 397.5695, 397.6295, 397.6395, 397.7294, 397.8894, 398.2094, 398.8492, 398.9192, 399.6191, 399.6291, 400.109, 401.3687, 401.4987, 402.2685, 404.1382, 406.6077, 407.8574, 408.6273]"
C1CCCCC1,CCCCCCO,"[291.4457, 291.5957, 292.0456, 292.7455, 293.1454, 293.9952, 294.845, 296.4447, 298.7942, 298.8442, 299.7441, 300.6438, 301.0937, 301.9434, 302.3433, 302.8431, 303.5429, 304.5426, 306.742, 307.1918, 308.6414, 311.0407, 318.5884, 319.838, 319.988, 325.4864, 326.736, 336.4337, 337.0336, 344.0318, 348.5304, 351.0297, 363.5263, 373.1244]"
C1CCCCC1,OC1CCCCC1,"[308.132, 318.1285, 328.1255, 414.0, 423.4, 423.56, 433.7, 443.6, 463.62, 483.68]"
C1CCCCC1,CC(=O)O,"[351.65, 351.68, 351.9231, 351.95, 351.96, 351.99, 352.15, 352.28, 352.47, 352.48, 352.5231, 352.55, 352.65, 352.723, 352.75, 352.95, 353.123, 353.15, 353.95, 354.35, 354.59, 354.623, 354.81, 354.95, 357.45, 357.623, 358.33, 361.05, 363.67, 364.15, 365.05, 365.6233, 368.67, 372.09, 373.124, 378.9, 380.45, 383.126, 386.31, 388.1265]"
C1CCCCC1,CCC(=O)O,"[318.1386, 353.9788, 354.3787, 355.6283, 356.3281, 357.0779, 358.1775, 359.6771, 359.7271, 360.7768, 361.5267, 363.3763, 364.3761, 366.0758, 366.8756, 371.5747, 376.9236, 377.2236, 381.3727, 383.0724, 392.5705, 397.6195, 410.067, 411.6667]"
C1CCCCC1,C=C(C)C(=O)OC,"[318.1086, 333.1144, 348.1206]"
C1CCCCC1,C1COCCO1,"[308.15, 325.16, 325.29, 325.57, 325.84, 326.04, 326.68, 327.0, 327.9, 329.22, 333.64, 334.82, 338.66, 339.53, 339.56, 339.57, 339.75, 340.03, 340.36, 341.09, 341.2, 341.48, 342.58, 343.74, 347.42, 350.07, 352.54, 352.62, 352.64, 352.89, 353.19, 353.28, 353.39, 353.73, 355.13, 355.17, 356.11, 356.97, 360.99, 363.27, 366.23, 369.18]"
C1CCCCC1,NC1CCCCC1,"[337.6335, 340.5628, 348.3805, 348.7804, 351.8794, 352.5792, 354.8485, 355.7283, 356.2781, 357.3778, 359.4472, 359.927, 362.0266, 362.9564, 363.1264, 366.8956, 367.8754, 370.6249, 374.1942, 374.3241, 377.4935, 382.7524, 386.8216, 392.2705, 397.5695, 403.6483]"
C1CCCCC1,C1CCNC1,"[298.1444, 313.15, 333.15]"
C1CCCCC1,Nc1ccccc1,"[308.3415, 323.337, 343.124, 392.4269]"
